iter	RMSE
0	75102.44273
1	73244.52503
2	71390.1192
3	69604.5222
4	67836.71224
5	66184.84081
6	64517.41864
7	63008.12613
8	61485.39369
9	60015.05358
10	58571.75902
11	57184.76099
12	55912.07746
13	54638.21346
14	53541.80953
15	52362.85494
16	51248.91491
17	50236.0412
18	49283.84033
19	48304.95922
20	47320.4142
21	46349.39068
22	45473.44536
23	44616.73065
24	43800.77032
25	43041.28649
26	42237.18536
27	41492.58834
28	40712.83891
29	40040.82218
30	39369.15436
31	38720.29441
32	38249.03812
33	37619.10636
34	36998.25949
35	36363.60225
36	35901.34126
37	35353.1843
38	34874.03965
39	34442.78451
40	34024.01763
41	33578.33574
42	33100.43397
43	32655.72894
44	32241.12812
45	31806.12967
46	31392.37598
47	31046.03127
48	30675.45149
49	30348.49003
50	30043.76988
51	29736.48773
52	29490.86588
53	29211.84732
54	28937.39119
55	28640.62338
56	28369.41502
57	28078.82042
58	27797.68191
59	27532.81073
60	27304.48093
61	27027.6005
62	26796.62711
63	26545.03793
64	26318.11718
65	26087.26586
66	25894.45055
67	25731.95885
68	25553.74576
69	25360.77063
70	25192.06135
71	25050.50371
72	24856.99326
73	24705.5533
74	24569.24988
75	24425.07777
76	24247.07568
77	24094.4825
78	23924.14977
79	23796.2215
80	23652.16994
81	23512.90116
82	23378.927
83	23271.15234
84	23128.77852
85	22999.5515
86	22874.23868
87	22768.74348
88	22649.04987
89	22521.87172
90	22385.04157
91	22288.11868
92	22180.99909
93	22067.95221
94	21958.34611
95	21844.68658
96	21740.80215
97	21616.05836
98	21522.50663
99	21426.80952
100	21346.05994
101	21244.06096
102	21152.27969
103	21071.91717
104	20980.30269
105	20915.49846
106	20826.25076
107	20749.09498
108	20695.12894
109	20622.17356
110	20528.82819
111	20454.31614
112	20370.50907
113	20282.66993
114	20202.05169
115	20122.13037
116	20064.58675
117	19994.64186
118	19937.34262
119	19875.9456
120	19813.30013
121	19764.29782
122	19711.16366
123	19643.05678
124	19576.36346
125	19536.0242
126	19475.45866
127	19428.12954
128	19373.53452
129	19326.50976
130	19282.00332
131	19225.10177
132	19187.50599
133	19147.03358
134	19091.08263
135	19040.5916
136	18989.6071
137	18939.00645
138	18866.39561
139	18816.11991
140	18768.05014
141	18691.96826
142	18635.45569
143	18602.93793
144	18573.99927
145	18512.4285
146	18453.33029
147	18396.01281
148	18339.02007
149	18275.74039
150	18218.5708
151	18164.09959
152	18111.65099
153	18065.21784
154	18029.54234
155	17978.37519
156	17935.1827
157	17899.76644
158	17851.57277
159	17819.46273
160	17789.26094
161	17763.11364
162	17702.43851
163	17668.62891
164	17606.86439
165	17570.77568
166	17527.78973
167	17477.97038
168	17443.24098
169	17410.72672
170	17363.18564
171	17328.31324
172	17272.15892
173	17233.54207
174	17179.3977
175	17137.86238
